作品ID,作品名,作品名（よみ）,監督,公開年,配給,ロケ地1,ロケ地1_情報,ロケ地2,ロケ地2_情報,ロケ地3,ロケ地3_情報,ロケ地4,ロケ地4_情報,ロケ地5,ロケ地5_情報,出演者1,出演者2,出演者3
17,少年H,しょうねんH,降旗康男,2013,東宝,旧神戸居留地十五番館,少年Hと父親・盛夫がフランス料理屋のオーナーシェフを訪ねるシーン,,,,,,,,,水谷豊,伊藤蘭,
18,夏の終り,なつのおわり,熊切和嘉,2013,クロックワークス,,,,,,,,,,,満島ひかり,小林 薫,綾野剛
19,シャニダールの花,しゃにだーるのはな,石井岳龍,2013,ファントム・フィルム,,,,,,,,,,,綾野剛,黒木華,
20,アウトレイジ ビヨンド,あうとれいじびよんど,北野 武,2012,ワーナー・ブラザース映画、オフィス北野,,,,,,,,,,,ビートたけし,西田敏行,三浦友和
21,黄金を抱いて翔べ,おうごんをだいてとべ,井筒和幸,2012,松竹,,,,,,,,,,,妻夫木聡,浅野忠信,
22,BRAVE HEARTS　海猿,BRAVE HEARTS　うみざる,羽住英一郎,2012,東宝,神戸空港,神戸空港の誘導灯を羽田空港の誘導灯に見立て、海上保安庁の巡視船が近づく姿をヘリで空撮,,,,,,,,,伊藤英明,加藤あい,
23,ALWAYS　三丁目の夕日'64,ALWAYS　さんちょうめのゆうひ'64,山崎貴,2012,東宝,,,,,,,,,,,吉岡秀隆,小雪,
24,わが母の記,わがははのき,原田眞人,2012,松竹,神戸ポートターミナル,ハワイへ出る大型客船の見送りの歓声が響く岸壁に、洪作（役所広司）がやってくるシーン,,,,,,,,,役所広司,樹木希林,
25,DOG×POLICE「純白の絆」,DOG×POLICE「じゅんぱくのきずな」,七高剛,2011,東宝,ポートアイランド市民広場,警備犬を扱う警察官（市原隼人さん、戸田恵梨香さん）らが、爆破予告された建物広場に集結し、大活躍,,,,,,,,,市原隼人,戸田恵梨香,
26,生きてるものはいないのか,いきてるものはいないのか,石井岳龍,2012,ファントム・フィルム,,,,,,,,,,,染谷将太,村上淳,
27,メモリーズ・コーナー,めもりーず・こーなー,オドレイ・フーシェ,2013,ディンゴ,神戸布引ハーブ園／ロープウェイ,アダ（デボラ・フランソワさん）と、石田（阿部寛さん）が語り合うシーン,,,,,,,,,デボラ・フランソワ,西島秀俊,阿部寛
28,ミロクローゼ,みろくろーぜ,石橋義正,2012,ディーライツ,三井アウトレットパーク　マリンピア神戸,子ども時代のオブレネリ・ブレネリギャー（下地幸多さん）が、ミロクローゼ（マイコさん）とデート,新港貿易会館,青春悩み相談員熊谷ベッソン（山田孝之さん）の事務所。玄関や廊下でもダンス！,,,,,,,山田孝之,マイコ,
29,阪急電車～片道15分の奇跡～,はんきゅうでんしゃ?かたみち15ふんのきせき?,三宅喜重,2011,東宝,カフェフィッシュ,ミサ（戸田恵梨香さん）が、マユミ（相武紗季さん）同席で彼氏と話し合ったカフェ,三宮中央通り,翔子（中谷美紀さん）がビジネス街の人波の中、たたずんだ場所,,,,,,,中谷美紀,戸田恵梨香,南果歩
30,マイ・バック・ページ,まい・ばっく・ぺーじ,山下敦弘,2011,アスミック・エース,デザイン・クリエイティブセンター神戸（KIITO）,新聞社と週刊誌編集部の屋内セットを建て込んでロケ,,,,,,,,,妻夫木聡,松山ケンイチ,
31,GANTZ,GANTZ,佐藤信介,2011,東宝,,,,,,,,,,,二宮和也,松山ケンイチ,
32,ふたたび　SWING ME AGAIN,ふたたび　SWING ME AGAIN,塩屋俊,2010,ギャガ,,,,,,,,,,,鈴木亮平,MINJI,
33,アウトレイジ,あうとれいじ,北野武,2010,ワーナーブラザース映画／オフィス北野,神戸ポートピアホテル,本館2Fのバーで、グバナン大使がパーティを開催するシーン,江戸町筋,「高砂ビル」が大友（ビートたけし）の組事務所に！,,,,,,,ビートたけし,他,
34,ノルウェイの森,のるうぇいのもり,トラン・アン・ユン,2010,東宝,神戸大学学生寮,六甲学院,神戸高校,,,,,,,,松山ケンイチ,菊地凛子,
35,新宿インシデント,しんじゅくいんしでんと,イー・トンシン,2009,ショウゲート,高浜岸壁・モザイク,鉄頭（ジャッキー・チェン）とリリー（ファン・ビンビン）が語り合っていたところに登場する北野刑事（竹中直人）。不穏な空気が…。,東門街,鉄頭（ジャッキー・チェンさん）と江口（加藤雅也さん）が追手から逃げる,南京町,チンピラに絡まれたリリー（ファン・ビンビン）を鉄頭（ジャッキー・チェン）が助け、ロマンスの始まりとなった,ポートアイランド市民広場,阿傑（ダニエル・ウーさん）が幻覚に追われるシーン,江戸町筋,暴対法反対デモのシーンは高砂ビル前。,ジャッキー・チェン,竹中直人,
36,悲しいボーイフレンド,かなしいぼーいふれんど,草野陽花,2009,ジョリーロジャー,神戸インキュベーションオフィス,岩津（寺脇康文さん）が香奈（寺島咲さん）に高速バスに無理やり乗せられるシーン,,,,,,,,,寺脇康文,寺島咲,
37,ホームレス中学生,ほーむれすちゅうがくせい,古厩智之,2008,東宝,須磨海岸,裕（小池徹平さん）が自転車で家出し、神戸の海岸にたどり着くシーン,,,,,,,,,小池徹平,池脇千鶴,
38,クリアネス,くりあねす,篠原哲雄,2008,ゼアリズエンタープライズ/ドーガ堂,,,,,,,,,,,杉野希妃,細田よしひこ,
39,火垂るの墓,ほたるのはか,日向寺太郎,2008,パル企画,神戸大学（六甲台キャンパス）,清太（吉武怜朗さん）と父（高橋克明さん）が剣道の稽古をするシーン（剣道場にて）,,,,,,,,,吉武怜朗,松坂慶子,
41,神様のパズル,かみさまのぱずる,三池崇史,2008,東映,神戸大学（六甲台キャンパス）,基一（市原隼人さん）と沙羅華（谷村美月さん）が通う大学。学校の庭、表のシーンが撮影された。,,,,,,,,,市原隼人,谷村美月,
42,Sweet Rain　死神の精度,Sweet Rain　しにがみのせいど,筧昌也,2008,ワーナー,江戸町筋,「高砂ビル」は一恵の職場、千葉が通い詰めるレコード店は「ベルェベル美容専門学校」の設定で、連日雨を降らせながら撮影。映画用に作ったレコード店のセットが、ご近所で、新しいお店がオープンした？と話題に。,東門街,一恵（小西真奈美さん）がストーカー？から逃げるシーン,,,,,,,金城武,小西真奈美,
43,クローズ　ZERO,くろーず　ZERO,三池崇史,2008,東宝,六間道商店街,合コンに失敗した源治（小栗旬さん）、牧瀬（高橋努さん）らが語り合うシーン,二葉34商店街,源治（小栗旬さん）らG・P・Sが雨の中最後の決戦に向かうシーン,丸五市場,ルカ（黒木メイサさん）の実家の八百屋に源治（小栗旬さん）がたずねるシーン。名物「丸五丼」はロケ弁にも登場！,湊川隧道（不定期公開）,源治（小栗旬さん）とルカ（黒木メイサさん）が町はずれに逃げ着くシーン,,,小栗旬,山田孝之,
44,ALWAYS　続・三丁目の夕日,ALWAYS　ぞく・さんちょうめのゆうひ,山崎貴,2008,東宝,川崎重工業兵庫工場,,,,,,,,,,吉岡秀隆,小雪,
46,僕の彼女はサイボーグ,ぼくのかのじょはさいぼーぐ,クァク・ジェヨン,2008,GAGAコミュニケーションズ,旧神戸居留地十五番館,ジローと「彼女」が思い出のレストランで食事をし、出てくるシーンは「十五番館」で撮影（店内シーンは別場所セット）,明石町筋,夜間封鎖して、未来から「彼女」が登場するカークラッシュシーンを撮影。閉店後の「大丸」店内でもジローや「彼女」のコミカルなシーンを撮影した。,南京町,賑わう夜の南京町を、ジローと「彼女」が手をつないで駆け抜けた,神戸大学（六甲台キャンパス）,ジロー（小出恵介さん）が通う大学（教室・学食）として登場。彼女（綾瀬はるかさん）がチキンを骨ごと食べるシーンも。,神戸市立御影公会堂,彼女（綾瀬はるかさん）とジロー（小出恵介さん）が逃げ込んだ京劇会場,綾瀬はるか,小出恵介,
47,ゼロからの風,ぜろからのかぜ,塩屋俊,2007,制作上映委員会,西神斎場,,,,,,,,,,田中好子,杉浦太陽,
48,初雪の恋　～ヴァージン・スノー?,はつゆきのこい　??ぁーじん・すのー?,ハン・サンヒ,2007,角川映画,高浜岸壁・モザイク,七重（宮﨑あおいさん）と友人（森田彩香さん）が語り合うシーン,,,,,,,,,イ・ジュンギ,宮﨑あおい,
49,おばちゃんチップス,おばちゃんちっぷす,田中誠,2006,ファントム・フィルム,,,,,,,,,,,船越英一郎,misono,
50,ウルトラマンメビウス＆ウルトラ兄弟,うるとらまんめびうす＆うるとらきょうだい,小中和哉,2006,松竹,ポートアイランド北公園,悩めるタカト（田中碧海さん）をミライが励ます名シーン,神戸空港,物語りの冒頭、ヒビノ・ミライ（五十嵐隼士さん）はここに降り立った。,神戸市立六甲山牧場,モロボシ・ダン（森次晃嗣さん）は牧場主として生活していた。,神戸布引ハーブ園／ロープウェイ,ウルトラ兄弟の４名がGUYSガンウィンガーを見送った場所,ポートアイランド市民広場,人々がニセメビウスの攻撃に逃げ惑う。,五十嵐隼士,黒部進,
51,ハリヨの夏,はりよのなつ,中村真夕,2006,葵プロモーション,須磨海岸,瑞穂（於保佐代子さん）が母（風吹ジュンさん）らと旅行するシーン,,,,,,,,,於保佐代子,風吹ジュン,
52,天使の卵,てんしのたまご,富樫森,2006,松竹,,,,,,,,,,,小西真奈美,市川隼人,
53,ありがとう,ありがとう,万田邦敏,2006,東映,長田港,60歳を目前に、ゴルフのプロテストを受けると奮起する古市（赤井英和）が、地元の人に励まされながらトレーニングをするシーンを撮影（港へは立入禁止）,須磨海岸,妻を亡くした保繁（今福将雄さん）が海に向って歌うシーン,神戸インキュベーションオフィス,忠雄（赤井英和さん）がプロテスト会場に出発するバスに乗り込むシーン,,,,,赤井英和,田中好子,
54,陽気なギャングが地球を回す,ようきなぎゃんぐがちきゅうをまわす,前田哲,2006,松竹,フラワーロード,パレードのシーンは神戸まつりで撮影,,,,,,,,,大沢たかお,鈴木京香,
55,呉清源,ごせいげん,田壮壮,2006,エス ピー オー,東灘区邸宅,,萬亀楼,,,,,,,,張震,伊藤歩,
56,交渉人　真下正義,こうしょうにんましたまさよし,本広克行,2005,東宝,,,,,,,,,,,ユースケサンタマリア,寺島進,
57,みやび　三島由紀夫,みやびみしまゆきお,田中千世子,2004,パンドラ,舞子公園,,,,,,,,,,平野啓一郎,関根祥人,
58,ゴジラ　Final Wars,ごじら　Final Wars,北村龍平,2004,東宝,神戸空港連絡橋,,兵庫県立美術館,,市営地下鉄御崎車輌基地,,,,,,松岡昌宏,菊川怜,
59,あずみ２,あずみ２,金子修介,2005,東宝,白水峡,,,,,,,,,,上戸彩,石垣佑磨,
60,動・響・光,うごき・ひびき・ひかり,槌橋雅博,2004,自主製作,,,,,,,,,,,中江絵美,中村優子,
61,きょうのできごと,きょうのできごと,行定勲,2004,コムストック,,,,,,,,,,,妻夫木聡,田中麗奈,
62,あずみ,あずみ,北村龍平,2003,東宝,白水峡,,,,,,,,,,上戸彩,竹中直人,
63,首領への道,どんへのみち,石原興,2003,松竹,,,,,,,,,,,清水健太郎,白竜,
64,GAIJIN 2,GAIJIN 2,山崎チヅカ,2004,MAM マルコンデス,,,,,,,,,,,-,,
65,Killers,Killers,辻本貴則,2003,東宝,,,,,,,,,,,水玉れっぷう隊,,
66,RUN 2 U,RUN 2 U,カン・ジョンス,2003,松竹,,,,,,,,,,,チェ・ジョンアン,高橋和也,
67,Returner,Returner,山崎貴,2002,東宝,,,,,,,,,,,金城武,鈴木杏,
68,GO,GO,行定勲,2001,東映,,,,,,,,,,,窪塚洋介,柴崎コウ,
69,走れ！イチロー,はしれ！いちろー,大森一樹,2001,東映,,,,,,,,,,,中村雅俊,浅野ゆう子,
70,バタフライ,ばたふらい,ムン・スンウク,2001,D－Production,,,,,,,,,,,キム・ホジョン,カン・ヘジョン,
